trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
63,False,"{'a': 0.47399999999999987, 'e': 0.20700755268115262}",25,3,18.53492457565605,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
64,False,"{'a': 0.47199999999999986, 'e': 0.2018965179946554}",20,11,5.981975978772274,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
65,False,"{'a': 0.46999999999999986, 'e': 0.19691167520419406}",25,10,-16.81931910052852,"{0: 12, 1: 0, 2: 2, 3: 1, 4: 0}",1
66,False,"{'a': 0.46799999999999986, 'e': 0.1920499086207541}",25,5,10.416145429004562,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",1
67,False,"{'a': 0.46599999999999986, 'e': 0.18730817948195702}",25,3,9.070915277559665,"{0: 21, 1: 0, 2: 0, 3: 1, 4: 0}",1
68,False,"{'a': 0.46399999999999986, 'e': 0.18268352405273464}",30,7,-36.01859352627395,"{0: 20, 1: 0, 2: 1, 3: 1, 4: 1}",1
69,False,"{'a': 0.46199999999999986, 'e': 0.17817305177289844}",20,0,-10.590925100003098,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
70,False,"{'a': 0.45999999999999985, 'e': 0.17377394345044514}",35,7,-14.506054510228084,"{0: 24, 1: 0, 2: 3, 3: 1, 4: 0}",1
71,False,"{'a': 0.45799999999999985, 'e': 0.16948344949947008}",25,12,23.883916442930573,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
72,False,"{'a': 0.45599999999999985, 'e': 0.16529888822158656}",25,18,13.883845357863379,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
73,False,"{'a': 0.45399999999999985, 'e': 0.16121764412977674}",20,0,31.32271509482398,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
74,False,"{'a': 0.45199999999999985, 'e': 0.1572371663136276}",30,10,-28.453790236311775,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 1}",1
75,False,"{'a': 0.44999999999999984, 'e': 0.15335496684492847}",20,0,18.017292342789215,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
76,False,"{'a': 0.44799999999999984, 'e': 0.14956861922263504}",25,15,17.629239202868835,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
77,False,"{'a': 0.44599999999999984, 'e': 0.1458757568562274}",25,14,18.065494118081567,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
78,False,"{'a': 0.44399999999999984, 'e': 0.14227407158651356}",20,11,19.03950104996447,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
79,False,"{'a': 0.44199999999999984, 'e': 0.13876131224295526}",20,10,14.201862534661728,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
